"raw","category","bp","percent"
"bases masked:    4546896 bp ( 23.87 %)","bases masked",4546896,23.87
"Retroelements         1605      2002872 bp   10.51 %","Retroelements",2002872,10.51
"   SINEs:                0            0 bp    0.00 %","SINEs",0,0
"   Penelope:             0            0 bp    0.00 %","Penelope",0,0
"   LINEs:              545       303612 bp    1.59 %","LINEs",303612,1.59
"    CRE/SLACS            0            0 bp    0.00 %","CRE/SLACS",0,0
"     L2/CR1/Rex          0            0 bp    0.00 %","L2/CR1/Rex",0,0
"     R1/LOA/Jockey       0            0 bp    0.00 %","R1/LOA/Jockey",0,0
"     R2/R4/NeSL          0            0 bp    0.00 %","R2/R4/NeSL",0,0
"     RTE/Bov-B           0            0 bp    0.00 %","RTE/Bov-B",0,0
"     L1/CIN4           545       303612 bp    1.59 %","L1/CIN4",303612,1.59
"   LTR elements:      1060      1699260 bp    8.92 %","LTR elements",1699260,8.92
"     BEL/Pao             0            0 bp    0.00 %","BEL/Pao",0,0
"     Ty1/Copia         444       395188 bp    2.07 %","Ty1/Copia",395188,2.07
"     Gypsy/DIRS1       616      1304072 bp    6.84 %","Gypsy/DIRS1",1304072,6.84
"       Retroviral        0            0 bp    0.00 %","Retroviral",0,0
"DNA transposons        205        81305 bp    0.43 %","DNA transposons",81305,0.43
"   hobo-Activator       49        14131 bp    0.07 %","hobo-Activator",14131,0.07
"   Tc1-IS630-Pogo        0            0 bp    0.00 %","Tc1-IS630-Pogo",0,0
"   En-Spm                0            0 bp    0.00 %","En-Spm",0,0
"   MULE-MuDR            15         1832 bp    0.01 %","MULE-MuDR",1832,0.01
"   PiggyBac              0            0 bp    0.00 %","PiggyBac",0,0
"   Tourist/Harbinger   100        38729 bp    0.20 %","Tourist/Harbinger",38729,0.2
"   Other (Mirage,        0            0 bp    0.00 %","Other",0,0
"Rolling-circles        514       113639 bp    0.60 %","Rolling-circles",113639,0.6
"Unclassified:         6473      2010907 bp   10.55 %","Unclassified",2010907,10.55
"Total interspersed repeats:     4095084 bp   21.49 %","Total interspersed repeats",4095084,21.49
"Small RNA:               0            0 bp    0.00 %","Small RNA",0,0
"Satellites:              0            0 bp    0.00 %","Satellites",0,0
"Simple repeats:       6565       264735 bp    1.39 %","Simple repeats",264735,1.39
"Low complexity:       1466        73438 bp    0.39 %","Low complexity",73438,0.39
