"raw","category","bp","percent"
"bases masked:    4589785 bp ( 20.47 %)","bases masked",4589785,20.47
"Retroelements         1777      2097254 bp    9.35 %","Retroelements",2097254,9.35
"   SINEs:                0            0 bp    0.00 %","SINEs",0,0
"   Penelope:             0            0 bp    0.00 %","Penelope",0,0
"   LINEs:              526       298481 bp    1.33 %","LINEs",298481,1.33
"    CRE/SLACS            0            0 bp    0.00 %","CRE/SLACS",0,0
"     L2/CR1/Rex          0            0 bp    0.00 %","L2/CR1/Rex",0,0
"     R1/LOA/Jockey       0            0 bp    0.00 %","R1/LOA/Jockey",0,0
"     R2/R4/NeSL          0            0 bp    0.00 %","R2/R4/NeSL",0,0
"     RTE/Bov-B           0            0 bp    0.00 %","RTE/Bov-B",0,0
"     L1/CIN4           526       298481 bp    1.33 %","L1/CIN4",298481,1.33
"   LTR elements:      1251      1798773 bp    8.02 %","LTR elements",1798773,8.02
"     BEL/Pao             0            0 bp    0.00 %","BEL/Pao",0,0
"     Ty1/Copia         512       545521 bp    2.43 %","Ty1/Copia",545521,2.43
"     Gypsy/DIRS1       739      1253252 bp    5.59 %","Gypsy/DIRS1",1253252,5.59
"       Retroviral        0            0 bp    0.00 %","Retroviral",0,0
"DNA transposons        236       128050 bp    0.57 %","DNA transposons",128050,0.57
"   hobo-Activator       19         4380 bp    0.02 %","hobo-Activator",4380,0.02
"   Tc1-IS630-Pogo        0            0 bp    0.00 %","Tc1-IS630-Pogo",0,0
"   En-Spm                0            0 bp    0.00 %","En-Spm",0,0
"   MULE-MuDR           140        94941 bp    0.42 %","MULE-MuDR",94941,0.42
"   PiggyBac              0            0 bp    0.00 %","PiggyBac",0,0
"   Tourist/Harbinger    61        21750 bp    0.10 %","Tourist/Harbinger",21750,0.1
"   Other (Mirage,        0            0 bp    0.00 %","Other",0,0
"Rolling-circles        256        69607 bp    0.31 %","Rolling-circles",69607,0.31
"Unclassified:         6682      1895140 bp    8.45 %","Unclassified",1895140,8.45
"Total interspersed repeats:     4120444 bp   18.37 %","Total interspersed repeats",4120444,18.37
"Small RNA:               0            0 bp    0.00 %","Small RNA",0,0
"Satellites:              0            0 bp    0.00 %","Satellites",0,0
"Simple repeats:       7832       311026 bp    1.39 %","Simple repeats",311026,1.39
"Low complexity:       1818        88708 bp    0.40 %","Low complexity",88708,0.4
